date,ticker,eps,up_revision
2026-03-06,A,,0
2026-03-07,A,,0
2026-03-06,AA,,0
2026-03-07,AA,,0
2026-03-06,AAL,,0
2026-03-07,AAL,,0
2026-03-06,AAMI,,0
2026-03-07,AAMI,,0
2026-03-06,AAON,,0
2026-03-07,AAON,,0
2026-03-06,AAP,,0
2026-03-07,AAP,,0
2026-03-06,AAPL,,0
2026-03-07,AAPL,,0
2026-03-06,AAT,,0
2026-03-07,AAT,,0
2026-03-06,ABBV,,0
2026-03-07,ABBV,,0
2026-03-06,ABCB,,0
2026-03-07,ABCB,,0
2026-03-06,ABG,,0
2026-03-07,ABG,,0
2026-03-06,ABM,,0
2026-03-07,ABM,,0
2026-03-06,ABNB,,0
2026-03-07,ABNB,,0
2026-03-06,ABR,,0
2026-03-07,ABR,,0
2026-03-06,ABT,,0
2026-03-07,ABT,,0
2026-03-06,ACA,,0
2026-03-07,ACA,,0
2026-03-06,ACAD,,0
2026-03-07,ACAD,,0
2026-03-06,ACGL,,0
2026-03-07,ACGL,,0
2026-03-06,ACHC,,0
2026-03-07,ACHC,,0
2026-03-06,ACI,,0
2026-03-07,ACI,,0
2026-03-06,ACIW,,0
2026-03-07,ACIW,,0
2026-03-06,ACLS,,0
2026-03-07,ACLS,,0
2026-03-06,ACM,,0
2026-03-07,ACM,,0
2026-03-06,ACMR,,0
2026-03-07,ACMR,,0
2026-03-06,ACN,,0
2026-03-07,ACN,,0
2026-03-06,ACT,,0
2026-03-07,ACT,,0
2026-03-06,ADAM,,0
2026-03-07,ADAM,,0
2026-03-06,ADBE,,0
2026-03-07,ADBE,,0
2026-03-06,ADC,,0
2026-03-07,ADC,,0
2026-03-06,ADEA,,0
2026-03-07,ADEA,,0
2026-03-06,ADI,,0
2026-03-07,ADI,,0
2026-03-06,ADM,,0
2026-03-07,ADM,,0
2026-03-06,ADMA,,0
2026-03-07,ADMA,,0
2026-03-06,ADNT,,0
2026-03-07,ADNT,,0
2026-03-06,ADP,,0
2026-03-07,ADP,,0
2026-03-06,ADSK,,0
2026-03-07,ADSK,,0
2026-03-06,ADT,,0
2026-03-07,ADT,,0
2026-03-06,ADUS,,0
2026-03-07,ADUS,,0
2026-03-06,AEE,,0
2026-03-07,AEE,,0
2026-03-06,AEIS,,0
2026-03-07,AEIS,,0
2026-03-06,AEO,,0
2026-03-07,AEO,,0
2026-03-06,AEP,,0
2026-03-07,AEP,,0
2026-03-06,AES,,0
2026-03-07,AES,,0
2026-03-06,AESI,,0
2026-03-07,AESI,,0
2026-03-06,AFG,,0
2026-03-07,AFG,,0
2026-03-06,AFL,,0
2026-03-07,AFL,,0
2026-03-06,AGCO,,0
2026-03-07,AGCO,,0
2026-03-06,AGO,,0
2026-03-07,AGO,,0
2026-03-06,AGYS,,0
2026-03-07,AGYS,,0
2026-03-06,AHCO,,0
2026-03-07,AHCO,,0
2026-03-06,AHH,,0
2026-03-07,AHH,,0
2026-03-06,AHR,,0
2026-03-07,AHR,,0
2026-03-06,AIG,,0
2026-03-07,AIG,,0
2026-03-06,AIN,,0
2026-03-07,AIN,,0
2026-03-06,AIR,,0
2026-03-07,AIR,,0
2026-03-06,AIT,,0
2026-03-07,AIT,,0
2026-03-06,AIZ,,0
2026-03-07,AIZ,,0
2026-03-06,AJG,,0
2026-03-07,AJG,,0
2026-03-06,AKAM,,0
2026-03-07,AKAM,,0
2026-03-06,AKR,,0
2026-03-07,AKR,,0
2026-03-06,AL,,0
2026-03-07,AL,,0
2026-03-06,ALB,,0
2026-03-07,ALB,,0
2026-03-06,ALEX,,0
2026-03-07,ALEX,,0
2026-03-06,ALG,,0
2026-03-07,ALG,,0
2026-03-06,ALGM,,0
2026-03-07,ALGM,,0
2026-03-06,ALGN,,0
2026-03-07,ALGN,,0
2026-03-06,ALGT,,0
2026-03-07,ALGT,,0
2026-03-06,ALK,,0
2026-03-07,ALK,,0
2026-03-06,ALKS,,0
2026-03-07,ALKS,,0
2026-03-06,ALL,,0
2026-03-07,ALL,,0
2026-03-06,ALLE,,0
2026-03-07,ALLE,,0
2026-03-06,ALLY,,0
2026-03-07,ALLY,,0
2026-03-06,ALRM,,0
2026-03-07,ALRM,,0
2026-03-06,ALV,,0
2026-03-07,ALV,,0
2026-03-06,AM,,0
2026-03-07,AM,,0
2026-03-06,AMAT,,0
2026-03-07,AMAT,,0
2026-03-06,AMCR,,0
2026-03-07,AMCR,,0
2026-03-06,AMD,,0
2026-03-07,AMD,,0
2026-03-06,AME,,0
2026-03-07,AME,,0
2026-03-06,AMG,,0
2026-03-07,AMG,,0
2026-03-06,AMGN,,0
2026-03-07,AMGN,,0
2026-03-06,AMH,,0
2026-03-07,AMH,,0
2026-03-06,AMKR,,0
2026-03-07,AMKR,,0
2026-03-06,AMN,,0
2026-03-07,AMN,,0
2026-03-06,AMP,,0
2026-03-07,AMP,,0
2026-03-06,AMPH,,0
2026-03-07,AMPH,,0
2026-03-06,AMR,,0
2026-03-07,AMR,,0
2026-03-06,AMRX,,0
2026-03-07,AMRX,,0
2026-03-06,AMSF,,0
2026-03-07,AMSF,,0
2026-03-06,AMT,,0
2026-03-07,AMT,,0
2026-03-06,AMTM,,0
2026-03-07,AMTM,,0
2026-03-06,AMWD,,0
2026-03-07,AMWD,,0
2026-03-06,AMZN,,0
2026-03-07,AMZN,,0
2026-03-06,AN,,0
2026-03-07,AN,,0
2026-03-06,ANDE,,0
2026-03-07,ANDE,,0
2026-03-06,ANET,,0
2026-03-07,ANET,,0
2026-03-06,ANF,,0
2026-03-07,ANF,,0
2026-03-06,ANGI,,0
2026-03-07,ANGI,,0
2026-03-06,ANIP,,0
2026-03-07,ANIP,,0
2026-03-06,AON,,0
2026-03-07,AON,,0
2026-03-06,AORT,,0
2026-03-07,AORT,,0
2026-03-06,AOS,,0
2026-03-07,AOS,,0
2026-03-06,AOSL,,0
2026-03-07,AOSL,,0
2026-03-06,APA,,0
2026-03-07,APA,,0
2026-03-06,APAM,,0
2026-03-07,APAM,,0
2026-03-06,APD,,0
2026-03-07,APD,,0
2026-03-06,APG,,0
2026-03-07,APG,,0
2026-03-06,APH,,0
2026-03-07,APH,,0
2026-03-06,APLE,,0
2026-03-07,APLE,,0
2026-03-06,APLS,,0
2026-03-07,APLS,,0
2026-03-06,APO,,0
2026-03-07,APO,,0
2026-03-06,APOG,,0
2026-03-07,APOG,,0
2026-03-06,APP,,0
2026-03-07,APP,,0
2026-03-06,APPF,,0
2026-03-07,APPF,,0
2026-03-06,APTV,,0
2026-03-07,APTV,,0
2026-03-06,AR,,0
2026-03-07,AR,,0
2026-03-06,ARCB,,0
2026-03-07,ARCB,,0
2026-03-06,ARE,,0
2026-03-07,ARE,,0
2026-03-06,ARES,,0
2026-03-07,ARES,,0
2026-03-06,ARI,,0
2026-03-07,ARI,,0
2026-03-06,ARLO,,0
2026-03-07,ARLO,,0
2026-03-06,ARMK,,0
2026-03-07,ARMK,,0
2026-03-06,AROC,,0
2026-03-07,AROC,,0
2026-03-06,ARR,,0
2026-03-07,ARR,,0
2026-03-06,ARW,,0
2026-03-07,ARW,,0
2026-03-06,ARWR,,0
2026-03-07,ARWR,,0
2026-03-06,ASB,,0
2026-03-07,ASB,,0
2026-03-06,ASGN,,0
2026-03-07,ASGN,,0
2026-03-06,ASH,,0
2026-03-07,ASH,,0
2026-03-06,ASML,,0
2026-03-06,ASO,,0
2026-03-07,ASO,,0
2026-03-06,ASTE,,0
2026-03-07,ASTE,,0
2026-03-06,ASTH,,0
2026-03-07,ASTH,,0
2026-03-06,ATEN,,0
2026-03-07,ATEN,,0
2026-03-06,ATGE,,0
2026-03-07,ATGE,,0
2026-03-06,ATI,,0
2026-03-07,ATI,,0
2026-03-06,ATO,,0
2026-03-07,ATO,,0
2026-03-06,ATR,,0
2026-03-07,ATR,,0
2026-03-06,AUB,,0
2026-03-07,AUB,,0
2026-03-06,AVA,,0
2026-03-07,AVA,,0
2026-03-06,AVAV,,0
2026-03-07,AVAV,,0
2026-03-06,AVB,,0
2026-03-07,AVB,,0
2026-03-06,AVGO,,0
2026-03-07,AVGO,,0
2026-03-06,AVNS,,0
2026-03-07,AVNS,,0
2026-03-06,AVNT,,0
2026-03-07,AVNT,,0
2026-03-06,AVT,,0
2026-03-07,AVT,,0
2026-03-06,AVTR,,0
2026-03-07,AVTR,,0
2026-03-06,AVY,,0
2026-03-07,AVY,,0
2026-03-06,AWI,,0
2026-03-07,AWI,,0
2026-03-06,AWK,,0
2026-03-07,AWK,,0
2026-03-06,AWR,,0
2026-03-07,AWR,,0
2026-03-06,AX,,0
2026-03-07,AX,,0
2026-03-06,AXL,,0
2026-03-07,AXL,,0
2026-03-06,AXON,,0
2026-03-07,AXON,,0
2026-03-06,AXP,,0
2026-03-07,AXP,,0
2026-03-06,AXTA,,0
2026-03-07,AXTA,,0
2026-03-06,AYI,,0
2026-03-07,AYI,,0
2026-03-06,AZO,,0
2026-03-07,AZO,,0
2026-03-06,AZTA,,0
2026-03-07,AZTA,,0
2026-03-06,AZZ,,0
